Publisher,Language,Author,Summary,Published Date,ISBN-10,ISBN-13,Type,Book Title,Price,Binding,Pages,Product Dimensions
W. W. Norton & Company,English,Nicholas Carr,"The best-selling author of The Big Switch returns with an explosive look at technology’s effect on the mind. “Is Google making us stupid?” When Nicholas Carr posed that question, in a celebrated Atlantic Monthly cover story, he tapped into a well of anxiety about how the Internet is changing us. He also crystallized one of the most important debates of our time: As we enjoy the Net’s bounties, are we sacrificing our ability to read and think deeply? Now, Carr expands his argument into the most compelling exploration of the Internet’s intellectual and cultural consequences yet published. As he describes how human thought has been shaped through the centuries by “tools of the mind”—from the alphabet to maps, to the printing press, the clock, and the computer—Carr interweaves a fascinating account of recent discoveries in neuroscience by such pioneers as Michael Merzenich and Eric Kandel. Our brains, the historical and scientific evidence reveals, change in response to our experiences. The technologies we use to find, store, and share information can literally reroute our neural pathways. Building on the insights of thinkers from Plato to McLuhan, Carr makes a convincing case that every information technology carries an intellectual ethic—a set of assumptions about the nature of knowledge and intelligence. He explains how the printed book served to focus our attention, promoting deep and creative thought. In stark contrast, the Internet encourages the rapid, distracted sampling of small bits of information from many sources. Its ethic is that of the industrialist, an ethic of speed and efficiency, of optimized production and consumption—and now the Net is remaking us in its own image. We are becoming ever more adept at scanning and skimming, but what we are losing is our capacity for concentration, contemplation, and reflection. Part intellectual history, part popular science, and part cultural criticism, The Shallows sparkles with memorable vignettes—Friedrich Nietzsche wrestling with a typewriter, Sigmund Freud dissecting the brains of sea creatures, Nathaniel Hawthorne contemplating the thunderous approach of a steam locomotive—even as it plumbs profound questions about the state of our modern psyche. This is a book that will forever alter the way we think about media and our minds",2010-06-15,393072223,978-0393072228,Second-Hand Book,The Shallows,"Rs. 1,850.00",hardcover,288,-
Arrow Bks,English,gordon thomas,,1980-10-20,99233703,978-0099233701,Second-Hand Book,"the day the bubble burst, gordon thomas",Rs. 600.00,paperback,-,-
-,English,Sun-tzu,,-,-,978-0140439199,Second-Hand Book,The Art of War: The Essential Translation of the Classic Book of Life,Rs. 500.00,-,-,-
 Hachette Group,English,"Richard Reeves,John Knell",,2009-04-07,755360044,978-0755360048,Second-Hand Book,The 80 Minute MBA,"Rs. 1,300.00",Paperback,-,-
Free Press,English,Seth Godin,"The book that does for companies what WHO MOVED MY CHEESE? does for individual employees, SURVIVAL IS NOT ENOUGH provides a groundbreaking new way to organise companies and thrive during times of change. Everything in our world, from marketing to technology to distribution to the capital markets, is moving at a faster pace than ever. Yet most companies view change as a threat, and survival as the goal. This book transforms all that. It contains a simple yet revolutionary idea: we can evolve our companies the same way nature evolves a species. Evolution is a fundamental force of nature, and Seth Godin demonstrates how it can be put to work in any organisation. The first step is to eliminate the anti-change reflex that's genetically coded into all of us. Once a company learns to 'zoom' (to change without panicking), it is much more likely to evolve. And a company that evolves can become ever more profitable. For the last five years, bestselling author Seth Godin has repeatedly demonstrated the power of his books by living their advice. He used the tactics in PERMISSION MARKETING to drive the book up the bestseller list. He followed the advice of UNLEASHING THE IDEA VIRUS to turn his treatise into a living example of an ideavirus. Now, as a committed zoomer, he shows his legions of fans how to turn their company into one that can zoom from one change to another. It's a formula for success whether the market is up or down, whether technology is hot or not, in all industries, from retail to tech to restaurants.",2003-03-03,743221230,978-0743221238,Second-Hand Book,Survival is Not Enough,Rs. 750.00,papercover,288,-
Gibson Square Books Ltd,English,Alan Pearce,"Imagine a bonkers world where the police hires 16-year olds, where two spilled crisps will cost you GBP80, where you are run over by a police car and then charged with damaging it, where a baby is refused a passport because it is photographed topless. Well, welcome to 21st century Britain! Journalist Alan Pearce has gathered a hilarious stockpile of stupendously mad regulations enforced by a growing army of community officers, council wardens, car park officials etc. They'll know how to find you!",-,1906142505,9781906142506,Discounted Book,Whose Side are They on: How Britain's Bonkers Government is Coming After You,"Rs. 1,200.00",Paperback,224,-
Penguin USA,English,Ryan Holiday,,2013-07-02,1591846285,978-1591846284,Discounted Book,Trust me I'm Lying  ,"Rs. 1,100.00",-,320,-
-,Sinhala,Martin Wickramasinghe,,-,-,-,Book,Ape Urumaya ha Bikshunwahanse,Rs. 175.00,-,-,-
Dayawansha Jayakody,Sinhala,Damayanthi Jayakodi,,-,9555513554,-,Book,Ape Jathika Kodiye Sinha Nadaya ,Rs. 200.00,-,135,-
-,English,Eureka Books,,-,-,9781519675446,Discounted Book,"Wherever You Go, There You Are Key Takeaways, Analysis & Review","Rs. 1,350.00",-,-,-
S.Godage and Brothers,Sinhala,Ajith Galappaththi,"Author says, sofar, people of Sinhala Cinema including directors, producers, musicians, actors and actresses have made use of this cinema maladaptively and abused and runed it",2007,-,9789553004826,Book,APE SINAMAWE MITHYACHARAYA,Rs. 630.00,-,584,14*22
S. Godage,Sinhala,Mahinda Kumara Dalupotha,Relationship between our ancestors and their nature,2007,-,9789553002716,Book,Ape Muthunmiththange Parisara Sirith - Virith 1,Rs. 140.00,-,-,-
-,Sinhala,Martin Wickramasinghe,,-,-,-,Book,Ape Gama,Rs. 220.00,-,119,-
Lal Samarasinghe,Sinhala,Lal Samarasinghe,,-,-,9789559578239,Book,Ape Anagathaya,Rs. 450.00,-,271,140mmx210mm
S. Godage & Brothers,Sinhala,Thilak Pathirana,,2010,-,9789553029249,Book,Ape Dumriye Wathagotha,"Rs. 1,300.00",-,72,8.5 X 5.5
Godage,Sinhala,Ariya Rajakaruna,This book was won a main award in 1994.,-,-,9789552085616,Book,Apaye Doratuwa,Rs. 225.00,-,-,-
S. Godage & Brothers (Pvt.) Ltd,Sinhala,Madurasiri Jayawardana,,2012,.,9789553037718,Book,Apathayekugen Liyumak,Rs. 150.00,Book Binding,72,.
MD Gunasena,Sinhala,LEO TOLSTOY/ J.F. SAMARANAYAKE,,-,9552103916,-,Book,ANNA KARENINA,Rs. 650.00,-,-,-
Buddhist Cultural Centre,Sinhala,Rohinee Srimathee David,,2009,-,9789556632385,Book,Apata Jeevath Wenna Ida Denna,Rs. 150.00,-,48,-
Malpiyali,Sinhala,Shyama Kumari Herath,,1993,9556234179,-,Book,Anthar Jathika Sanvidana,Rs. 100.00,-,-,-
-,Sinhala,"Sir Ernest Faculton, Danapala Gunasekera",,-,9558819190,-,Book,Antarctica Tharanaya,Rs. 280.00,-,Samayawardane Publishers,-
S. Godage & Brothers (Pvt.) Ltd,Sinhala,Chandra Dunuwila,,2013,.,9789553039859,Book,Anuradhapura Yugaye Adyapana Paddathiya,Rs. 650.00,Book Binding,248,.
Padmakumara,Sinhala,Bandula Padmakumara,,-,-,-,Book,Anibal and Amdan Saamaya Soyaa Yama,Rs. 430.00,-,231,5.5 x 8.5
S. Godage & Brothers,Sinhala,Bandula Liyanage,,2002,9552051231,-,Book,Angampora Jayagath Maraliya,Rs. 225.00,-,82,8.5 x 5.5
PAHAN PUBLICATIONS,Sinhala,Kenneth Anderson,,2008,-,9789551451943,Book,Atheetha Vana Peth - Jungles Long Ago,Rs. 340.00,-,-,-
S. Godage & Brothers,Sinhala,Ratna Sri Wijesingha,,2008,-,9789553015341,Book,Ath Pasura,Rs. 300.00,-,147,14.5 x 21.0
SOORIYA PRAKASHIO,Sinhala,YASAPALA WANASINGHA,,-,-,9556561920,Book,ATEETHA URUMAYAKA SODURU MATAKA SATAHAN ,Rs. 450.00,-,288,-
S.Godage,Sinhala,K.A.P.Wickramarathne,,2001,9552034655,-,Book,Asirimath Rajyayan Dekak,Rs. 70.00,-,-,-
BRILIUM PUBLICATION,Sinhala,Priyanga de zoysa,,-,-,-,Book,Aseemitha Suwathaava,Rs. 570.00,-,152,5.5 x 8.5
S. Godage,Sinhala,Sena Thoradeniya,,2010,-,9789553028907,Book,Arunu,Rs. 250.00,-,-,-
S. Godage,Sinhala,Joy Packer,,2004,9552071852,-,Book,Asammathaye Sammathaya - Veronica,Rs. 375.00,-,-,-
Dayawansha Jayakody,Sinhala,Palitha Jayakody/ Vasant G Rele,,2010,-,978955516747,Book,Asirimath Kundalinee - The Mysterious Kundalini,Rs. 200.00,-,-,-
Deshahethoshe Jathika Wiyaparaya,Sinhala,Jhon Parkins,,2008,-,9789551606022,Book,Artheka Gathakyakuge Papochecharenaya,Rs. 350.00,-,-,-
S. Godage,Sinhala,Ven.Raththota Upananda,,2010,-,9789553025357,Book,Aristotelianu Tharka Shasthraya - Aristotelian Logic,Rs. 300.00,-,-,-
S. Godage & Brothers,Sinhala,Ven. Rattota Upananda Himi,,2010,-,9789553025357,Book,Aristotaliyanu Tarka Shastraya,Rs. 275.00,-,72,8.5 x 5.5
Ravaya,Sinhala,Victor Ivan,,-,-,-,Book,Arbudhaye gaman maga,Rs. 200.00,-,-,-
Fast Publishing,Sinhala,Mohan Palliyaguru,,-,-,9789556770629,Book,Aramuna Aththo Lowa Jaya Gaththo,Rs. 300.00,-,112,145mm X 220mm
Ravaya,Sinhala,Victor Ivan,,-,9551468105,-,Book,Arbudaye andaraya,Rs. 300.00,-,-,22 x 31 cm
-,Sinhala,Martin Wickramasinghe,,-,-,-,Book,Ape Withthi,Rs. 150.00,-,-,-
Dayawansha Jayakody,Sinhala,Somaweera Senanayake,,-,-,-,Book,Api Thawamath Sansare,Rs. 665.00,-,254,8.5 X 5.5
S. Godage & Brothers,Sinhala,Pandith Shanthi Geethadeva,,2010,710000230,-,Book,Aprachalitha Ha Nawa Nirmitha Raaga,Rs. 550.00,-,244,21.0 x 29.0
S.Godage,Sinhala,Vijayananda Hewapathirathna,,1998,9552028574,-,Book,Api Okkoma Nadayo,Rs. 40.00,-,-,-
VISIDUNU,Sinhala,Nalin De Silva,,-,9550955095,9789550955091,Book,Batahira Vidyawa Asenic Saha Deviyo ,Rs. 450.00,-,268,-
S. Godage,Sinhala,Chaminda Senarathna,,2009,-,9789553017918,Book,Batahira Werala Nidahas,Rs. 325.00,-,-,-
Samudra Publications,Sinhala,Sudath Bandara,,-,-,-,Book,Batahira Chinthanaya Pilibada Peradiga Wigrahayak,Rs. 225.00,-,-,-
Patriotic National Movement,Sinhala,-, This book exposes the true colors of the modern day colonizers and invaders of the New World Order.,-,9551060015,-,Book,Batahira Balaya saha Lankawe Iranama,Rs. 200.00,-,160,212mm x 149mm x 15mm
S.Godage and Brothers,Sinhala,Ajith Tilakasena,,1998,9552009856,-,Book,BASHA ARBUDAYE GAMAN MAGA,Rs. 90.00,-,66,14*23
Samayawardhana Bookshop,Sinhala,Udawela Rewatha Himi,,-,-,-,Book,Bashana Sanskrutham,Rs. 200.00,-,96,145mm X 220mm
S. Godage & Brothers,Sinhala,Prof. J. B. Dissanayaka,"Basaka Mahima is series of books, authored by Profesor J. B. Dissanayake, a senior lecturer of the University of Colombo &amp: is one of the leading authorities of the Sinhala Language. This set of books were first published few years ago, but was soon out of stock as soon as it was printed. The second edition is printed due the popular demand.",2000,9552044391,-,Book,Basaka Mahima 3 - Na-kara Sammathaya,Rs. 200.00,-,56,14.5 x 21.5 cm
Saraswathi Publications,Sinhala,Rohitha Munasinghe,,-,9559367730,-,Book,Barbase Kamare ,Rs. 175.00,-,176,-
Gihan book shop,Sinhala,W.O.T Fernando,"Includes 10 chapters with question papers divided into I.Q, Mathematics and Computing knowledge. This book is targeted at individuals planning to sit for the Bank exams.",-,9555933731,-,Book,Bank Prevesha,Rs. 300.00,-,112,9.75in. × 7.25in. (HxW)
-,Sinhala,Martin Wickramasinghe,,-,-,-,Book,Balopadeshaya,Rs. 45.00,-,-,-
S Godage And Brother,Sinhala,Sunil Ariyarathna,,2010,700010058,-,Book,Baila Kapirigngna Vimarshanayak,Rs. 400.00,-,228,-
-,Sinhala,Martin Wickramasinghe,,-,-,-,Book,Banakatha Sahithyaya,Rs. 220.00,-,-,-
Ravaya,Sinhala,Hemasiri Abewardana,,-,-,-,Book,Balaya bedamu rata nobedamu,Rs. 100.00,-,-,-
Sooriya Publishers,Sinhala,K.P. Samarathne,,2006,9556560165,-,Book,Avanhalaka Eththa Viththi,Rs. None,-,-,-
Godage,Sinhala,G. B. Senanayake,,-,-,9789553023223,Book,Awara Gira,Rs. 700.00,-,-,-
Sooriya Publishers,Sinhala,Randy Pausch,,2010,-,9789556561531,Book,Awasan Deshanaya - The Last Lecture,Rs. 400.00,-,-,-
S Godage & Bothers,Sinhala,Mahinda Kumara Dalupotha,,-,9552097460,-,Book,Aththama ha Janasampradaya,Rs. 300.00,Paperback,144,213x140x7mm
-,Sinhala,Martin Wickramasinghe,,-,-,-,Book,Aththa Yuththa,Rs. 300.00,-,164,-
-,Sinhala,-,,-,-,-,Book,Books Payment (Shenal),"Rs. 1,410.00",-,-,-
S.Godage,Sinhala,P.Elanganthilaka,,2006,9552089956,-,Book,Biridage Dinapotha,Rs. 200.00,-,-,-
S. Godage,Sinhala,P.Rupasinghe Perera,,2009,9552016320,-,Book,Bojaprabandaya,Rs. 400.00,-,-,-
Piyavi Pot Prakasakayo,Sinhala,Piyasena Kahandagamage,,-,9555570116,9789555570114,Book,Binthanne Viththi,Rs. 250.00,-,-,-
