Publisher,Author,Summary,Published Date,ISBN-10,ISBN-13,Type,Book Title,Price,Binding,Pages,Product Dimensions
 PLUTO PRESS," Jonathan Spence, Jonathan Goodhand, Shahul Hasbulla","Is religion best seen as only a cause of war, or is it a source of comfort for those caught up in conflict? Checkpoint, Temple, Church and Mosque is based on fieldwork in Sri Lanka's most religiously diverse and politically troubled region in the closing years of the civil war. It provides a series of new and provocative arguments about the promise of a religiously based civil society, and the strengths and weaknesses of religious organisations and religious leaders in conflict mediation. It argues that for people trapped in long and violent conflicts, religion plays a contradictory role, often acting as a comforting and stabilising force but also, in certain situations, acting as a source of new conflict. Additionally, war itself can lead to profound changes in religious institutions: Catholic priests engage with Buddhist monks and new Muslim leaders, while Hindu temples and Pentecostal churches offer the promise of healing. This book will provoke new debate about the role of religious organisations and leaders in situations of extreme conflict and will be of great interest to students of anthropology, development studies, religious studies and peace/conflict studies.",2014-12-20,0745331211,9780745331218,DISCOUNTED BOOKS,"Checkpoint, Temple, Church and Mosque: A Collaborative Ethnography of War and Peace","Rs. 4,950.00",Paperback,224,-
John Wiley & Sons Inc,Michael E. Doyle,,2006-12-05,0471741906,9780471741909,DISCOUNTED BOOKS,Color Drawing,"Rs. 8,500.00",Hardcover,432,22 x 2.7 x 28 cm
Arrow,Reza Aslan,"*Why do they hate us? An entire cottage industry has arisen to answer this question. But what no one has really figured out is, who exactly are they? Is it al-Qaeda? Islamic nationalists? The whole Muslim world?*HOW TO WIN A COSMIC WAR lays out, for the first time, a comprehensive definition of the movement behind and surrounding al-Qaeda and the like, a global ideology properly termed Jihadism. *Contrasting twenty-first-century religious extremism across Christianity, Judaism and Islam with its historical antecedents, Aslan demonstrates that while modern Jihadis may have legitimate social grievances - the suffering of the Palestinians, American support for Arab dictators, the presence of foreign troops in Muslim lands, to name a few - they have no real goals or actual agenda.*So, what do the Jihadists want? Aslan's answer is: Nothing. The Jihadists have no earthly agenda: they are fighting a metaphysical conflict, a theological war. And ever since 9/11, we have unfortunately been fighting the same cosmic war, the war they want: the so-called 'War on Terror'.*How do we win a Cosmic War? By refusing to fight in one. And in this stunning new work, Aslan reveals surprising conclusions about how we can deal with this predicament.",2010-04-06,009953889X,978-0099538899,SECOND-HAND BOOKS,How to Win a Cosmic War,Rs. 450.00,paperback,240,-
-,B.K.S. Iyengar,,-,-,978-0007518265,DISCOUNTED BOOKS,Core Of The Yoga Sutra,"Rs. 1,300.00",-,-,-
McGraw-Hill Education,Don Tapscott,The Net Generation Has Arrived. Are you ready for it?,2008-10-01,0071508635,978-0071508636,SECOND-HAND BOOKS,Grown Up Digital,"Rs. 1,850.00",hardcover,384,-
PENGUIN GROUP,CHARLES DICKENS,,-,0141439602,-,BOOKS,A TALE OF TWO CITIES ,Rs. 875.00,-,448,-
Quercus,Corban Addison,"Ahalya Ghai and her younger sister Sita are as close as sisters can be. But their loving and secure childhood ends abruptly one day when a tsunami rips through their village on India’s Coromandel coast. Their home is swept away, and Ahalya and Sita are the sole survivors of their family. Destitute, their only hope is to find refuge at a convent in Chennai, many miles away. A driver agrees to take them. But the moment they get into that car their fate is sealed. The two sisters – confused, alone, totally reliant on each other – are sold. Worse, they are separated. On the other side of the world, Washington lawyer Thomas Clarke is struggling to cope after the death of his baby daughter and the collapse of his marriage to Priya. He takes a sabbatical from his high-pressure job and accepts a position with the Bombay branch of an international anti-trafficking group. Thomas is now on a path that not only involves saving himself and his marriage, but the lives of two sisters who cannot bear to be apart.",2012,0857388185,9780857388186,BOOKS,A Walk Across The Sun,"Rs. 1,750.00",Paperback,432,-
Random House Publishing Group,Aldo Leopold,"""We can place this book on the shelf that holds the writings of Thoreau and John Muir."" San Francisco Chronicle These astonishing portraits of the natural world explore the breathtaking diversity of the unspoiled American landscape -- the mountains and the prairies, the deserts and the coastlines. A stunning tribute to our land and a bold challenge to protect the world we love.",12/1986,0345345053,9780345345059,BOOKS,A Sand County Almanac,"Rs. 1,800.00",Paperback,320,6.88 x 4.26 x 0.85 inches
Candy Jar Books,Colin Edwards,,2014-04-10,0957154844,9780957154841,BOOKS,A Personal Portrait of the Royal Family,"Rs. 5,300.00",Paperback,-,-
Vijitha Yapa Publications,"A.P.Kannangara, D. Phil. (Oxon.)","The book is in two parts. In the first part he describes how different sectors of the people in Sri Lanka found themselves defined in the course of the nineteenth century, and the responses they made to the changes they had to contend with. In the second part he engages in a critical study of colonialism, the devaluing of primordial institutions and the imposing of different social structures, leaving individuals to fight their way through a society to which they were tenuously connected. At one level the second part was also a narrative but it was a narrative which involves comparison and analysis. It is a description of the social changes that began in the nineteenth century and continued till the mid twentieth century. This is a posthumously published book. The Author died in July 2004. He had collected a lot of information from the Sri Lankan National Archives, the British National Archives in London, the Bibliotheque Nationale in Paris,…. and left a tentative plan for the book…”. After his death his wife, Monica was determined to have the book published on his behalf and undertook to fulfil her husband’s aspirations. This, she has done.",-,-,9789556651454,BOOKS,A Survey of Social Change in an Imperial Regime,Rs. 980.00,-,252,145mm X 205mm
June, Chip R. Bell & Marshall Goldsmith,Managers As Mentors is a rapid-fire read and a provocative guide to helping associates grow and adapt in today's tumultuous organizations. This new edition has been thoroughly revised and updated. Chip Bell and Marshall Goldsmith place increased emphasis on the mentor as a learning catalyst for the protege rather than someone who simply hands down knowledge—crucial for younger workers who prize growth opportunities even more than prior generations and who tend to distrust hierarchy.,2013-07-01,160994710X,9781609947101,DISCOUNTED BOOKS,Managers as Mentors: Building Partnerships for Learning,"Rs. 1,500.00",Paper back,235,-
Cbs,Malik B. S.,,01 December 2009,8123904673, 9788123904672,BOOKS,"A Laboratory Manual Of Veterinary Microbiology, Part 3",Rs. 245.00,Paperback,-,-
 HarperCollinsChildren'sBooks,"Mary-kate Olsen, Ashley Olsen","Mary-Kate and Ashley star as twins Chloe and Riley Carlson in the TV show ""So Little Time"". Chloe really likes her new boyfriend, but is told to ""learn the rules"" and not show him she likes him until the fourth date. Meanwhile, a guy in a cafe turns one of Riley's obscure poems into a song",2003, 0007144555,9780007144556,BOOKS,A Girl's Guide to Guys (So Little Time),Rs. 850.00,Paperback,112,-
Coronet Books,Lorna Byrne,A ray of hope in dark times,16 February 2012,144472987X,9781444729870,BOOKS,A Message of Hope from the Angels ,"Rs. 2,380.00",Hardcover,224,-
Munshiram Manoharlal,Ananda K Coomaraswamy,"This book, 'A New Approach to the Vedas' is a translated essay and exegesis in relation to the Vedas in which passages from Rigveda and the Brahmadaranyaka and Maitri Upanishads, dealing with cosmology, ontology and teleology, have been interpreted in a new perception of the quite extraordinary depth of those ideas and their amazing psychological accuracy. The passages translated and interpreted in this book reflect their technical significance and at the same time a comparative approach. This has been made the work exceptional in regard to quality, understanding and depth.",1933,8121506301,-,BOOKS,A New Approach To The Vedas ,Rs. 627.00,Hardcover,115,-
Westland Books Pvt Ltd,Philip Chacko,"This book tells the story of how that dream was realised.This is the story of the Nano, the Rs1-lakh wonder, and how it came to be The making of the Nano has been a struggle and a vindication, a long, arduous and expensive endeavour to cope with a wide range of problems. This, then, is also the story of how Tata Motors, the company behind the project, overcame the limitations imposed by conventional technology and traditional methods of manufacturing to craft a motor car that has changed the automobile world.",2010-08-30,9380658591,978-9380658599,SECOND-HAND BOOKS,Small Wonder,Rs. 500.00,Hardcover,154,-
Random House,Julia Angwin,"A few years ago, MySpace.com was just an idea kicking around a Southern California spam mill. Scroll down to the present day and MySpace is one of the most visited Internet destinations in America, displaying more than 40 billion webpage views per month and generating nearly $1 billion annually for Rupert Murdoch’s online empire. Even by the standards of the Internet age, the MySpace saga is an astounding growth story, which climaxed with the site’s acquisition by Murdoch’s News Corporation in 2005 for a sum approaching one billion dollars. But more than that, it may be the defining drama of the digital era. In Stealing MySpace, Pulitzer Prize-winning journalist Julia Angwin chronicles the rise of this Internet powerhouse. With an unerring eye, Angwin details how MySpace took the Internet by storm by grabbing the best ideas from around the Web, encouraging pinup stars such as Tila Tequila to make their home on its pages and giving everyone freedom to experiment with online identities–including using somebody else’s identity. Stealing MySpace introduces us to the site’s founders, Chris DeWolfe and Tom Anderson, who dabbled in computer hacking, online pornography, spam, and spyware before starting MySpace. Although their street savvy, doggedness, and clubbing skills far eclipsed their tech prowess, they stumbled their way to success and soon found themselves at ground zero of a high-stakes war that pitted Rupert Murdoch against his frequent nemesis, the combative Viacom CEO Sumner Redstone. Angwin sheds light on the dizzying backroom deals that allowed Murdoch to snatch MySpace from Viacom’s grasp even as the MySpace founders remained in the dark about their own fate. Then she takes us inside the Murdoch empire as DeWolfe and Anderson lobby furiously to regain control of their creation. Venturing beyond the business aspects of the story, Angwin also explores the Internet culture, a voyeuristic world in which MySpace must stay one step ahead of amateur pornographers, sexual predators, and “spoofers” who set up fake profiles (Rupert Murdoch himself tolerates dozens of phony “Ruperts” on the site) and cope with the general excesses and sometimes illegal acts of a community of account holders equal in number to the population of Japan. In Stealing MySpace, Julia Angwin dishes on the epic real-world battle for control of a virtual empire. In a savvy, smart, fast-paced narrative reminiscent of Bryan Burrough and John Helyar’s Barbarians at the Gate and Michael Lewis’s The New New Thing, Stealing MySpace tells is the whole gripping story behind a breakout cultural phenomenon.",2009-03-17,1400066948,9781400066940,SECOND-HAND BOOKS,Stealing MySpace: The Battle to Control the Most Popular Website in America,"Rs. 1,100.00",Hardcover,-,-
Adam Khoo Learning Technologies Group,Adam Khoo,"If you have always wanted to build a million-dollar fortune then it's time you learn how you can make your dreams a reality right now!You will learn that it does not require a Harvard Business Degree, good luck or lots of capital to make it rich. With a strong desire, million-dollar mindset and the right money-making strategies, you will find that anyone can become a self-made millionaire.This is the most practical, powerful &amp: comprehensive book ever written on how to create, manage, multiply and enjoy your money. It is a must read for entrepreneurs, managers, professionals, executives and anybody who has ever dreamed of getting out of the rat race and onto the path of financial freedom.",2012-09-05,981055284X,978-9810552848,SECOND-HAND BOOKS,Secrets of Self-Made Millionaires ,Rs. 600.00,paperback,-,-
Penguin Books Ltd,William Shakespeare,"Part of ""The New Penguin Shakespeare"" series, this text looks at ""Macbeth"" with an introduction, a list of further reading, commentary and a short account of the textual problems of the play. The series is used and recommended by the Royal Shakespeare Company.",-,0140707050,9780140707052,DISCOUNTED BOOKS,Macbeth (Penguin Classics),Rs. 950.00,Paperback,208,-
Barron's Educational Series Inc,Robert D. Hisrich,,1993-12-31, 0812046935,978-0812046939,SECOND-HAND BOOKS,Selling and Sales Management ,Rs. 600.00,paperback,268,-
Harper Collins,Robin Hobb,The gripping finale to Robin Hobb's classic Farseer trilogy.,Mar 1998, 000648011X,9780006480112,BOOKS,Assassin's Quest,Rs. 905.00,Paperback,848,17.4 x 11.2 x 5.4 cm
Atlantic,William Shakespeare,,2003,812480060X,9788124800607,BOOKS,As You Like It,Rs. 720.00,Paperback,140,-
Allen Lane,"Thomas R. Trautmann, Gurcharan Das","Ascribed to Kautilya (commonly identified as the prime minister of Chandragupta Maurya) and dating back more than 2,000 years, the Arthashastra is the world s first manual in political economy. It has a pre- eminence in Indian thought that is akin to that of Machiavelli s The Prince in Europe.",2012,0670085278,9780670085279,BOOKS,Arthashastra: The Science Of Wealth,"Rs. 1,485.00",Hardcover,208,-
LOTUS PRESS,VIJAYA KUMAR,,-,8183821227,-,BOOKS,BABY NAMES FOR BOYS,Rs. 300.00,-,210,-
Tata Mcgraw Hill,Shema M,"Put an end to hacking. Stop hackers in their tracks using the tools andtechniques described in this unique resource. Organized by category, Anti-HackerToolkit provides complete details on the latest and most critical securitytools, explains their function, and demonstrates how to configure them to getthe best results. New and updated case studies in each chapter illustrate how toimplement each tool in real-world situations. Protect your network and preventdisasters using the cutting-edge security tools and exclusive information inthis completely up-to-date volume.",2004,0070586896,9780070586895,BOOKS,Anti-Hacker Tool Kit (with CD),"Rs. 1,755.00",Paperback,808,-
KESHAWA PUBLISHERS & DISTRIBUTORS,ANGU RAJENDRAN,,-,-,9551277147EX,BOOKS,ANCIENT SRI LANKA TIMES-VIJAYA ,Rs. 200.00,-,16,-
KESHAWA PUBLISHERS & DISTRIBUTORS,ANGU RAJENDRAN,,-,-,9551277154EX,BOOKS,ANCIENT SRI LANKA TIMES-PANDUKABHAYA,Rs. 200.00,-,16,-
-, Lesley Regan,,-,-,978-0751336825,SECOND-HAND BOOKS,Your Pregnancy Week by week,Rs. None,-,-,-
HARPER COLLINS PUBLISHERS,Lawrence E. Joseph,"Is the world really coming to an end in 2012? According to the Bible, I Ching and the Mayans it is. And, wouldnt you know it, there are already several rock bands, including Houstons very own Downfall 2012, getting ready to party. ""Apocalypse 2012"" is cheerful sceptic Laurence E Josephs investigation into the 2012 Doomsday phenomenon. With its mixture of hard science, investigative reportage and cast of colourful characters, ""Apocaplyse 2012"" is Fast Food Nation for the terminally paranoid. Journalist and science writer, Laurence E. Joseph is our incisive and witty guide unravelling the religious, astrological and mystical prophecies behind the potentially earth-shattering events of 2012. And, at the core of this book, is Josephs investigation into the growing number of scientific researchers trying to figure out why conditions around our planet are becoming so bizarre. His adventures include: hooking up with the Voluntary Human Extinction Movement whose cheerful motto Live Long and Die Out is now available as a tattoo: meeting the scientists who are trying to figure out why the present state of the sun is so worrisome - is it just going through a phase or is something major going on? Visiting Yellowstone National Park to see whether the seething supervolcano could soon stop civilisation dead in its tracks: exploring the possibility of a terrorist attack that could plunge the whole Northern Hemisphere into the equivalent of a nuclear winter. So, if 2012 really is going to be a year of unprecedented catastrophe, what can we do to increase our odds of surviving it? Should we head for the Kentucky hills or hightail it to Western Africa, where an Australian Doomesday 2012 enthusiast is already staking his claim, or perhaps wed be better blasting off for solar systems unknown?",19 February 2007, 0007227388,9780007227389,BOOKS,Apocalypse 2012: An optimist investigates the end of civilization,"Rs. 5,500.00",Paperback,320,23.2 x 15.2 x 2.8 cm
University of Chicago Press,Gary S. Becker,"On December 5, 2004, the still-developing blogosphere took one of its biggest steps toward mainstream credibility, as Nobel Prize–winning economist Gary S. Becker and renowned jurist and legal scholar Richard A. Posner announced the formation of the Becker-Posner Blog.",2009-11-01,-, 9780226041025,SECOND-HAND BOOKS,Uncommon Sense,Rs. 850.00,paperback,380,-
Harper Collins Publ. Uk,Raymond E. Feist,"The conclusion of the bestselling Demon War series, which began with Rides a Dread Legion",2011, 0007264720,9780007264728,BOOKS,At The Gates of Darkness,"Rs. 1,865.00",Paperback,336,7.8 x 5.08 x 0.83 inches
"John Wiley & Sons, Inc.",David William Brown,"This book is a very general and accessible introduction to Object Oriented Analysis. It contains extensive pedagogy and incorporates patient explanations, making it ideal for beginners. Incorporation of real-world examples, case studies, and in depth theory and skills for practical application makes this book very user-friendly. Contents same as US/UK editions.",2004,981253105X,9789812531056,BOOKS,An Introduction to object oriented analysis Objects & UML in Plain English,Rs. 910.00,Paperback,704,-
Hodder Paperbacks,Peter Jones,"Dragon's Den star Peter Jones will demonstrate how anyone can become successful - you just need guts, determination and ideas.",2008-04-17,0340952350,978-0340952351,SECOND-HAND BOOKS,Tycoon,Rs. 600.00,paperback,272,-
Springer London Ltd,Mark Alison,"Astronomy enthusiasts will all appreciate the detailed yet easily-assimilated description of star clusters, how they were formed as our Milky Way galaxy, how they evolved, and how they are classified. The latest research has revealed a vast amount of fascinating information about the clusters, along with some spectacular photographs. Modern commercially-made telescopes enable amateur astronomers to see a surprising amount of detail, and to record - using CCD cameras, video, webcams or even film - some remarkably beautiful and detailed images. Contained here also is detailed information on using refractors, reflectors, and, of course, Meade and Celestron's ubiquitous range of computer-controlled SCT telescopes.",-,1846281903, 9781846281907,DISCOUNTED BOOKS,Star Clusters and How to Observe Them,"Rs. 4,200.00",Paperback,224,-
Shroff/no Starch Press,Randall Hyde,,2003,8173668078,9788173668074,BOOKS,Art of Assembly Language W/CD,"Rs. 1,735.00",Paperback,928,-
Whitney Library of Design,Ivo Drpic,"A book featuring a marker-based method of sketching for beginners as well as advanced design professionals to produce finished sketches of exactitude and polish. The practical techniques simplify the construction of interior space and show how to achieve verisimilitude of surfaces with a minimum of technical skills. Arranged in logical sequence of mastery there are twenty-five step-by-step demonstrations of sketching spaces and individual details. Information covers methods to increase speed in sketching, advise on materials needed and how to create five kinds of perspective and plans.",1988-07-28,0823048535,9780823048533,DISCOUNTED BOOKS,Sketching and Rendering Interior Spaces ,"Rs. 3,600.00",Paperback,144,22 x 1.3 x 29 cm
-,Brian Tracy,,-,1609946758,978-1609946753,DISCOUNTED BOOKS,The 21 Success Secrets of Self Made Millionaires,"Rs. 1,100.00",-,-,-
Bantam,Sarah Ban Breathnach,"A collection of thoughts, reflections, quotes and poems which provides meditations for each day of the year, and helps the reader improve the quality of their life by rediscovering simple pleasures.",1997-12-04,0553506625,9780553506624,DISCOUNTED BOOKS,Simple Abundance: A Daybook of Comfort and Joy ,"Rs. 2,000.00",Paperback,528,23.1 x 15.2 x 4.3 cm
-,"Mary Jane Byrd, Leon C. Megginson",,-,-,978-0071263689,DISCOUNTED BOOKS,Small Business Management,"Rs. 5,000.00",-,-,-
-,Theda Skocpol,,-,-,9780521409384,DISCOUNTED BOOKS,Social Revolutions in the Modern World ,"Rs. 5,000.00",-,-,-
Farrar Straus Giroux: Reprint edition,Robert Lowell,Robert Lowell Collected Poems,-,374530327,9780374530327,DISCOUNTED BOOKS,Robert Lowell Collected Poems,"Rs. 10,000.00",-,1216,22.9 x 15.2 x 5.3 cm
-,Fred G. Martin,,-,-,9780130895684,DISCOUNTED BOOKS,Robotic Explorations: A Hands-on Introduction to Engineering,"Rs. 6,000.00",-,-,-
LAXMI PUBLICATIONS-NEW DELHI,SHERIDAN,9780333912225,-,0333912225,9780333912225,DISCOUNTED BOOKS,School For Scandal,Rs. 250.00,Paperback,168,-
-,"E. J. Yoder,M. W. Witczak",Table of Contents:,-,8126530723,9788126530724,DISCOUNTED BOOKS,Principles of Pavement Design,"Rs. 7,000.00",Paperback,-,-
-,Maisto & Morris,,-,-,9788131732168,DISCOUNTED BOOKS,Psychology for Nurses,"Rs. 3,800.00",-,-,-
 Lippincott Williams and Wilkins,"Edward C. Halperin,Luther W. Brady,Carlos A. Perez,David E. Wazer","Inside the Sixth Edition of this now-classic reference, you will discover encyclopedic coverage of topics ranging from basic science to sophisticated computer-based radiation therapy treatment planning and supportive care. The book's comprehensive scope and abundantly illustrated format provide you with better understanding of the natural history of cancer, the physical methods of radiation application, the effects of radiation on normal tissues, and the most judicious ways in which you can employ radiation therapy in patient care. Traditionally available as a printed textbook, now it comes with a completely revamped digital experience, powered by Inkling! NEW to the Sixth Edition...site-specific chapters include relevant background information on each tumor - including epidemiology, pathology, diagnostic work-up, prognostic factors, treatment techniques, applications of surgery and chemotherapy, end results, and more: over 1,400 full-color illustrations highlight key concepts in tumor pathogenesis, diagnosis, and targeted radiation therapy: increased emphasis on new approaches and technologies improve your understanding of three-dimensional treatment planning, intensity-modulated radiotherapy, combined modality therapy, and particle therapy: greater emphasis on palliative and supportive care reflects the role of radiation treatment in non-curative roles: new editors and contributors let you benefit from their decades of experience: and, digital version includes the complete text, index-based search, note sharing, regular content updates integrated into the text, and much more. Improve outcomes for your patients...Pick up your copy today.",-, 1451116489,9781451116489,DISCOUNTED BOOKS,Perez & Brady's Principles and Practice of Radiation Oncology 6th edition,"Rs. 39,000.00",Hardcover,1936,-
-,T. Harv Eker,,-,-,9780061336454,DISCOUNTED BOOKS,Secrets of the Millionaire Mind,Rs. 600.00,-,-,-
-,Eureka Books,,-,-,9781519675446,DISCOUNTED BOOKS,"Wherever You Go, There You Are Key Takeaways, Analysis & Review","Rs. 1,350.00",-,-,-
Random House India,Jhumpa Lahiri,"Two brothers bound by tragedy. A fiercely brilliant woman haunted by her past. A country torn by revolution. A love that lasts long past death. This extraordinary, emotionally riveting new novel, set in India and America, expands the scope and range of one of our most beloved storytellers: the Pulitzer Prize-winning, #1 New York Times bestselling author of Interpreter of Maladies and Unaccustomed Earth.",2013-09-08,8184003862,9788184003864,DISCOUNTED BOOKS,The Lowland ,"Rs. 1,000.00",Hardcover,352,-
Harper Paperbacks,Jim Marrs,"The Rise of the Fourth ReichThrow out everything you think you know about history. Close the approved textbooks, turn off the corporate mass media, and whatever you do, don't believe anything you hear from the government. The Rise of the Fourth Reich reveals the truth about American power. In this explosive exposÃ‰, the legendary Jim Marrs explores the frighteningly real possibility that today, in the United States, an insidious ideology thought to have been vanquished more than a half century ago is actually flourishing. At the end of World War II, ranking Nazis, along with their young and fanatical protÃ‰gÃ‰s, used the loot of Europe to create corporate front companies in many countries, worming their way into corporate America. They brought with them miraculous weapons technology that helped win the space race. But they also brought their Nazi philosophy based on the authoritarian premise that the end justifies the meansâ€”including unprovoked wars of aggression and curtailment of individual libertiesâ€”which has since gained an iron hold in the ""land of the free."" Jim Marrs has gathered compelling evidence of the effort that has been under way for the past sixty years to bring a form of National Socialism to modern America, creating in essence a new empire-or ""Fourth Reich""!",-,61245593,9780061245596,DISCOUNTED BOOKS,The Rise of the Fourth Reich,"Rs. 1,800.00",-,448,5.3 x 7.9 x 1.1 inches
Penguin USA,Ryan Holiday,,2013-07-02,1591846285,978-1591846284,DISCOUNTED BOOKS,Trust me I'm Lying  ,"Rs. 1,100.00",-,320,-
 Simon & Schuster,Eben Alexander,"A SCIENTIST'S CASE FOR THE AFTERLIFEscientific community have argued that they are impossible. Dr. Eben Alexander was one of those people.A highly trained neurosurgeon who had operated on thousands of brains in the course of his career, Alexander knew that what people of faith call the “soul” is really a product of brain chemistry. NDEs, he would have been the first to explain, might feel real to the people having them, but in truth they are simply fantasies produced by brains under extreme stress.Then came the day when Dr. Alexander’s own brain was attacked by an extremely rare illness. The part of the brain that controls thought and emotion—and in essence makes us human— shut down completely. For seven days Alexander lay in a hospital bed in a deep coma. Then, as his doctors weighed the possibility of stopping treatment, Alexander’s eyes popped open. He had come back.Alexander’s recovery is by all accounts a medical miracle. But the real miracle of his story lies elsewhere. While his body lay in coma, Alexander journeyed beyond this world and encountered an angelic being who guided him into the deepest realms of super-physical existence. There he met, and spoke with, the Divine source of the universe itself.This story sounds like the wild and wonderful imaginings of a skilled fantasy writer. But it is not fantasy. Before Alexander underwent his journey, he could not reconcile his knowledge of neuroscience with any belief in heaven, God, or the soul. That difficulty with belief created an empty space that no professional triumph could erase. Today he is a doctor who believes that true health can be achieved only when we realize that God and the soul are real and that death is not the end of personal existence but only a transition.This story would be remarkable no matter who it happened to. That it happened to Dr. Alexander makes it revolutionary. No scientist or person of faith will be able to ignore it. Reading it will change your life.",2012-10-23,0749958790,978-0749958794,DISCOUNTED BOOKS,Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,"Rs. 1,000.00",Paper back,196,-
"Wisdom Publications,U.S.",David R. Loy,"A professor of international studies applies Buddhist theory and teachings to a variety of economic, social, and ecological issues, showing how Buddhism can provide a theorgetical framework for socially involved individuals. Original.",-,0861713664,9780861713660,DISCOUNTED BOOKS,The Great Awakening: A Buddhist Social Theory,"Rs. 2,800.00",Paperback,240,-
Gibson Square Books Ltd,Alan Pearce,"Imagine a bonkers world where the police hires 16-year olds, where two spilled crisps will cost you GBP80, where you are run over by a police car and then charged with damaging it, where a baby is refused a passport because it is photographed topless. Well, welcome to 21st century Britain! Journalist Alan Pearce has gathered a hilarious stockpile of stupendously mad regulations enforced by a growing army of community officers, council wardens, car park officials etc. They'll know how to find you!",-,1906142505,9781906142506,DISCOUNTED BOOKS,Whose Side are They on: How Britain's Bonkers Government is Coming After You,"Rs. 1,200.00",Paperback,224,-
Laurence King Publishing,"Martin Salisbury,Morag Styles","Introduces us to the world of children's picturebooks, providing a background to the industry before going on to explore the key concepts and practices that have gone into the creation of picturebooks. This book covers the key stages of conceiving a narrative, creating a visual language and developing storyboards and design of a picturebook.",16 January 2012,185669738X,9781856697385,BOOKS,Children's Picture Books: The Art of Visual Storytelling ,"Rs. 2,895.00",Paperback,192,-
Ceylon Chamber of Comerce,S.S. Jayawickrama,"The Ceylon Chamber of Commerce, set up in 1839, is Sri Lanka's senior chamber of commerce, and is also one of the longest-established in the world. Chambers worldwide promote and protect enterprise, by acting as its spokesmen, providing a veriety of services, and harnessing the strengths of their members in the common interest. They are powerful collective institutions for facilitating business and economic growth. This Review narrates how the Ceylon Chamber of Commerce contributed to such growth in Sri Lanka. It is the first comprehensive account of the Chamber's long and eventful history.",-,9556040323,-,BOOKS,"Ceylon Chamber of Commerce, The: 1839-2004: A Historical Review","Rs. 4,500.00",-,200,26 x 28 x 2.5 cm
